entry_time,entry_price,entry_dir,exit_time,exit_price,exit_reason,entry_reason,raw_points,export_slippage_one_way_pts,export_slippage_round_trip_pts,export_net_points,export_net_pnl
2025-12-10 09:00:00,28279.0,LONG,2025-12-10 10:00:00,28292.0,"ATR移動停利(啟動: K=2 * ATR35=59.03點, 回落: K=2 * ATR25=56.72點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,13.0,2.0,4.0,9.0,1800.0
2025-12-10 10:30:00,28305.0,LONG,2025-12-10 18:45:00,28373.0,"ATR移動停利(啟動: K=2 * ATR35=61.31點, 回落: K=2 * ATR25=52.00點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,68.0,2.0,4.0,64.0,12800.0
2025-12-10 19:30:00,28401.0,LONG,2025-12-11 09:15:00,28535.0,"ATR移動停利(啟動: K=2 * ATR35=82.86點, 回落: K=2 * ATR25=93.04點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,134.0,2.0,4.0,130.0,26000.0
2025-12-11 11:45:00,28108.0,SHORT,2025-12-11 19:15:00,28192.0,"ATR停損(K=3.0, ATR=10, 門檻=79.80點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-84.0,2.0,4.0,-88.0,-17600.0
2025-12-12 03:00:00,28338.0,LONG,2025-12-12 09:30:00,28268.0,跌破KAMA,多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-70.0,2.0,4.0,-74.0,-14800.0
2025-12-12 09:45:00,28332.0,LONG,2025-12-12 10:45:00,28270.0,跌破KAMA,多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-62.0,2.0,4.0,-66.0,-13200.0
2025-12-12 12:00:00,28179.0,SHORT,2025-12-12 15:15:00,28280.0,突破KAMA,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-101.0,2.0,4.0,-105.0,-21000.0
2025-12-12 16:30:00,28318.0,LONG,2025-12-12 17:45:00,28258.0,跌破KAMA,多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-60.0,2.0,4.0,-64.0,-12800.0
2025-12-12 18:30:00,28287.0,LONG,2025-12-12 18:45:00,28257.0,跌破KAMA,多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-30.0,2.0,4.0,-34.0,-6800.0
2025-12-12 19:00:00,28248.0,SHORT,2025-12-15 09:30:00,27868.0,"ATR移動停利(啟動: K=2 * ATR35=126.00點, 回落: K=2 * ATR25=141.60點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,380.0,2.0,4.0,376.0,75200.0
2025-12-15 12:15:00,27909.0,SHORT,2025-12-15 17:00:00,27935.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-26.0,2.0,4.0,-30.0,-6000.0
2025-12-15 23:15:00,27850.0,SHORT,2025-12-16 00:45:00,27923.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-73.0,2.0,4.0,-77.0,-15400.0
2025-12-16 01:00:00,27835.0,SHORT,2025-12-16 12:45:00,27647.0,"ATR移動停利(啟動: K=2 * ATR35=133.66點, 回落: K=2 * ATR25=132.80點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,188.0,2.0,4.0,184.0,36800.0
2025-12-16 16:00:00,27594.0,SHORT,2025-12-16 17:15:00,27733.0,"ATR停損(K=3.0, ATR=10, 門檻=116.40點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-139.0,2.0,4.0,-143.0,-28600.0
2025-12-17 00:00:00,27672.0,SHORT,2025-12-17 03:00:00,27682.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-10.0,2.0,4.0,-14.0,-2800.0
2025-12-17 03:30:00,27607.0,SHORT,2025-12-17 12:15:00,27748.0,"ATR停損(K=3.0, ATR=10, 門檻=139.20點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-141.0,2.0,4.0,-145.0,-29000.0
2025-12-17 13:00:00,27583.0,SHORT,2025-12-17 15:30:00,27823.0,"ATR停損(K=3.0, ATR=10, 門檻=231.60點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-240.0,2.0,4.0,-244.0,-48800.0
2025-12-17 17:30:00,27899.0,LONG,2025-12-18 00:00:00,27674.0,"ATR停損(K=3.0, ATR=10, 門檻=201.60點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-225.0,2.0,4.0,-229.0,-45800.0
2025-12-18 00:30:00,27522.0,SHORT,2025-12-18 10:00:00,27631.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-109.0,2.0,4.0,-113.0,-22600.0
2025-12-18 11:30:00,27555.0,SHORT,2025-12-18 12:45:00,27558.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-3.0,2.0,4.0,-7.0,-1400.0
2025-12-18 21:45:00,27728.0,LONG,2025-12-18 23:00:00,27775.0,"ATR移動停利(啟動: K=2 * ATR35=69.09點, 回落: K=2 * ATR25=68.40點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,47.0,2.0,4.0,43.0,8600.0
2025-12-18 23:15:00,27838.0,LONG,2025-12-19 01:30:00,27780.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-58.0,2.0,4.0,-62.0,-12400.0
2025-12-19 02:00:00,27864.0,LONG,2025-12-19 11:15:00,27850.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-14.0,2.0,4.0,-18.0,-3600.0
2025-12-19 11:45:00,27948.0,LONG,2025-12-22 09:45:00,28198.0,"ATR移動停利(啟動: K=2 * ATR35=78.80點, 回落: K=2 * ATR25=70.56點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,250.0,2.0,4.0,246.0,49200.0
2025-12-22 10:00:00,28178.0,LONG,2025-12-22 20:15:00,28314.0,"ATR移動停利(啟動: K=2 * ATR35=54.46點, 回落: K=2 * ATR25=44.40點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,136.0,2.0,4.0,132.0,26400.0
2025-12-22 20:45:00,28338.0,LONG,2025-12-22 23:00:00,28306.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-32.0,2.0,4.0,-36.0,-7200.0
2025-12-23 00:30:00,28367.0,LONG,2025-12-23 04:45:00,28331.0,"ATR停損(K=3.0, ATR=10, 門檻=36.90點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-36.0,2.0,4.0,-40.0,-8000.0
2025-12-23 09:15:00,28375.0,LONG,2025-12-23 10:45:00,28386.0,"ATR移動停利(啟動: K=2 * ATR35=61.20點, 回落: K=2 * ATR25=50.56點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,11.0,2.0,4.0,7.0,1400.0
2025-12-23 11:15:00,28393.0,LONG,2025-12-23 20:45:00,28439.0,"ATR移動停利(啟動: K=2 * ATR35=42.63點, 回落: K=2 * ATR25=36.16點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,46.0,2.0,4.0,42.0,8400.0
2025-12-23 21:15:00,28463.0,LONG,2025-12-23 22:15:00,28354.0,"ATR停損(K=3.0, ATR=10, 門檻=73.20點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-109.0,2.0,4.0,-113.0,-22600.0
2025-12-24 00:15:00,28442.0,LONG,2025-12-24 09:45:00,28517.0,"ATR移動停利(啟動: K=2 * ATR35=54.29點, 回落: K=2 * ATR25=41.28點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,75.0,2.0,4.0,71.0,14200.0
2025-12-24 16:15:00,28475.0,LONG,2025-12-24 21:30:00,28499.0,"ATR移動停利(啟動: K=2 * ATR35=36.91點, 回落: K=2 * ATR25=28.96點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,24.0,2.0,4.0,20.0,4000.0
2025-12-24 22:00:00,28510.0,LONG,2025-12-25 02:30:00,28518.0,"ATR移動停利(啟動: K=2 * ATR35=34.46點, 回落: K=2 * ATR25=37.92點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,8.0,2.0,4.0,4.0,800.0
2025-12-25 03:45:00,28540.0,LONG,2025-12-26 09:30:00,28572.0,"ATR移動停利(啟動: K=2 * ATR35=44.34點, 回落: K=2 * ATR25=45.68點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,32.0,2.0,4.0,28.0,5600.0
2025-12-26 09:45:00,28560.0,LONG,2025-12-26 21:30:00,28684.0,"ATR移動停利(啟動: K=2 * ATR35=36.17點, 回落: K=2 * ATR25=27.68點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,124.0,2.0,4.0,120.0,24000.0
2025-12-26 21:45:00,28690.0,LONG,2025-12-29 16:30:00,28896.0,"ATR移動停利(啟動: K=2 * ATR35=66.11點, 回落: K=2 * ATR25=80.48點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,206.0,2.0,4.0,202.0,40400.0
2025-12-30 10:15:00,28818.0,LONG,2025-12-30 15:30:00,28845.0,"ATR移動停利(啟動: K=2 * ATR35=68.34點, 回落: K=2 * ATR25=76.88點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,27.0,2.0,4.0,23.0,4600.0
2025-12-30 17:00:00,28841.0,LONG,2025-12-31 04:30:00,28900.0,"ATR移動停利(啟動: K=2 * ATR35=45.60點, 回落: K=2 * ATR25=48.32點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,59.0,2.0,4.0,55.0,11000.0
2025-12-31 11:00:00,28948.0,LONG,2025-12-31 18:15:00,29004.0,"ATR移動停利(啟動: K=2 * ATR35=72.69點, 回落: K=2 * ATR25=58.32點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,56.0,2.0,4.0,52.0,10400.0
2025-12-31 19:00:00,29013.0,LONG,2026-01-01 00:15:00,29035.0,"ATR移動停利(啟動: K=2 * ATR35=44.63點, 回落: K=2 * ATR25=43.92點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,22.0,2.0,4.0,18.0,3600.0
2026-01-01 01:15:00,29062.0,LONG,2026-01-01 04:30:00,29020.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-42.0,2.0,4.0,-46.0,-9200.0
2026-01-02 09:15:00,29110.0,LONG,2026-01-02 22:15:00,29562.0,"ATR移動停利(啟動: K=2 * ATR35=61.66點, 回落: K=2 * ATR25=56.00點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,452.0,2.0,4.0,448.0,89600.0
2026-01-02 23:00:00,29642.0,LONG,2026-01-02 23:30:00,29651.0,"ATR移動停利(啟動: K=2 * ATR35=73.54點, 回落: K=2 * ATR25=76.32點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,9.0,2.0,4.0,5.0,1000.0
2026-01-03 00:00:00,29688.0,LONG,2026-01-05 19:00:00,30312.0,"ATR移動停利(啟動: K=2 * ATR35=139.66點, 回落: K=2 * ATR25=96.72點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,624.0,2.0,4.0,620.0,124000.0
2026-01-05 20:00:00,30338.0,LONG,2026-01-05 21:45:00,30241.0,"ATR停損(K=3.0, ATR=10, 門檻=90.30點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-97.0,2.0,4.0,-101.0,-20200.0
2026-01-05 22:15:00,30331.0,LONG,2026-01-06 01:45:00,30316.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-15.0,2.0,4.0,-19.0,-3800.0
2026-01-06 10:00:00,30320.0,LONG,2026-01-06 16:45:00,30496.0,"ATR移動停利(啟動: K=2 * ATR35=99.31點, 回落: K=2 * ATR25=116.56點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,176.0,2.0,4.0,172.0,34400.0
2026-01-06 19:15:00,30527.0,LONG,2026-01-07 00:00:00,30565.0,"ATR移動停利(啟動: K=2 * ATR35=73.37點, 回落: K=2 * ATR25=66.88點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,38.0,2.0,4.0,34.0,6800.0
2026-01-07 01:30:00,30573.0,LONG,2026-01-07 12:45:00,30515.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-58.0,2.0,4.0,-62.0,-12400.0
2026-01-08 04:45:00,30298.0,SHORT,2026-01-08 09:15:00,30412.0,突破KAMA,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-114.0,2.0,4.0,-118.0,-23600.0
2026-01-08 10:00:00,30579.0,LONG,2026-01-08 15:30:00,30436.0,"ATR停損(K=3.0, ATR=10, 門檻=129.00點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-143.0,2.0,4.0,-147.0,-29400.0
2026-01-08 15:45:00,30504.0,LONG,2026-01-08 21:30:00,30507.0,多單止盈,多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,3.0,2.0,4.0,-1.0,-200.0
2026-01-08 21:45:00,30548.0,LONG,2026-01-08 23:15:00,30447.0,跌破KAMA,多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-101.0,2.0,4.0,-105.0,-21000.0
2026-01-09 01:30:00,30370.0,SHORT,2026-01-09 05:00:00,30452.0,突破KAMA,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-82.0,2.0,4.0,-86.0,-17200.0
2026-01-09 09:15:00,30371.0,SHORT,2026-01-09 10:00:00,30177.0,"ATR移動停利(啟動: K=2 * ATR35=126.46點, 回落: K=2 * ATR25=128.24點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,194.0,2.0,4.0,190.0,38000.0
2026-01-09 10:15:00,30252.0,SHORT,2026-01-09 11:00:00,30527.0,突破KAMA,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-275.0,2.0,4.0,-279.0,-55800.0
2026-01-09 12:30:00,30498.0,LONG,2026-01-09 15:45:00,30430.0,跌破KAMA,多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-68.0,2.0,4.0,-72.0,-14400.0
2026-01-09 16:00:00,30447.0,LONG,2026-01-09 21:30:00,30494.0,"ATR移動停利(啟動: K=2 * ATR35=65.20點, 回落: K=2 * ATR25=51.28點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,47.0,2.0,4.0,43.0,8600.0
2026-01-09 21:45:00,30535.0,LONG,2026-01-12 09:15:00,30706.0,"ATR移動停利(啟動: K=2 * ATR35=93.03點, 回落: K=2 * ATR25=90.64點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,171.0,2.0,4.0,167.0,33400.0
2026-01-12 12:00:00,30716.0,LONG,2026-01-12 18:30:00,30688.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-28.0,2.0,4.0,-32.0,-6400.0
2026-01-12 21:15:00,30739.0,LONG,2026-01-13 09:30:00,31007.0,"ATR移動停利(啟動: K=2 * ATR35=100.63點, 回落: K=2 * ATR25=95.68點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,268.0,2.0,4.0,264.0,52800.0
2026-01-13 15:45:00,30906.0,LONG,2026-01-13 23:30:00,30924.0,"ATR移動停利(啟動: K=2 * ATR35=79.77點, 回落: K=2 * ATR25=84.80點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,18.0,2.0,4.0,14.0,2800.0
2026-01-14 00:15:00,31020.0,LONG,2026-01-14 02:00:00,30994.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-26.0,2.0,4.0,-30.0,-6000.0
2026-01-14 09:30:00,30999.0,LONG,2026-01-14 12:15:00,30996.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-3.0,2.0,4.0,-7.0,-1400.0
2026-01-14 20:15:00,30797.0,SHORT,2026-01-15 05:00:00,30807.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-10.0,2.0,4.0,-14.0,-2800.0
2026-01-15 11:15:00,30793.0,SHORT,2026-01-15 12:30:00,30867.0,突破KAMA,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-74.0,2.0,4.0,-78.0,-15600.0
2026-01-15 13:45:00,30981.0,LONG,2026-01-16 03:30:00,31424.0,"ATR移動停利(啟動: K=2 * ATR35=78.57點, 回落: K=2 * ATR25=84.40點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,443.0,2.0,4.0,439.0,87800.0
2026-01-16 11:30:00,31438.0,LONG,2026-01-16 21:30:00,31447.0,"ATR移動停利(啟動: K=2 * ATR35=61.49點, 回落: K=2 * ATR25=50.72點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,9.0,2.0,4.0,5.0,1000.0
2026-01-16 22:45:00,31486.0,LONG,2026-01-16 23:15:00,31366.0,"ATR停損(K=3.0, ATR=10, 門檻=120.30點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-120.0,2.0,4.0,-124.0,-24800.0
2026-01-19 10:15:00,31398.0,LONG,2026-01-19 16:15:00,31594.0,"ATR移動停利(啟動: K=2 * ATR35=114.74點, 回落: K=2 * ATR25=142.72點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,196.0,2.0,4.0,192.0,38400.0
2026-01-19 16:30:00,31616.0,LONG,2026-01-20 02:45:00,31549.0,"ATR停損(K=3.0, ATR=10, 門檻=59.10點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-67.0,2.0,4.0,-71.0,-14200.0
2026-01-20 10:45:00,31637.0,LONG,2026-01-20 15:30:00,31516.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-121.0,2.0,4.0,-125.0,-25000.0
2026-01-20 18:00:00,31335.0,SHORT,2026-01-21 00:00:00,31495.0,突破KAMA,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-160.0,2.0,4.0,-164.0,-32800.0
2026-01-21 01:45:00,31402.0,SHORT,2026-01-21 09:15:00,31371.0,"ATR移動停利(啟動: K=2 * ATR35=100.34點, 回落: K=2 * ATR25=98.64點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,31.0,2.0,4.0,27.0,5400.0
2026-01-21 12:15:00,31302.0,SHORT,2026-01-21 13:15:00,31223.0,結算日13:15開盤強平,空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,79.0,2.0,4.0,75.0,15000.0
2026-01-22 09:15:00,31894.0,LONG,2026-01-22 13:30:00,31882.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-12.0,2.0,4.0,-16.0,-3200.0
2026-01-22 15:45:00,31909.0,LONG,2026-01-22 23:15:00,31985.0,"ATR移動停利(啟動: K=2 * ATR35=73.66點, 回落: K=2 * ATR25=68.48點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,76.0,2.0,4.0,72.0,14400.0
2026-01-22 23:45:00,32078.0,LONG,2026-01-23 17:15:00,32118.0,"ATR移動停利(啟動: K=2 * ATR35=117.20點, 回落: K=2 * ATR25=115.04點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,40.0,2.0,4.0,36.0,7200.0
2026-01-23 19:30:00,32140.0,LONG,2026-01-24 02:15:00,32125.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-15.0,2.0,4.0,-19.0,-3800.0
2026-01-24 02:45:00,32196.0,LONG,2026-01-26 09:15:00,32131.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-65.0,2.0,4.0,-69.0,-13800.0
2026-01-26 16:15:00,32174.0,LONG,2026-01-27 09:15:00,32286.0,"ATR移動停利(啟動: K=2 * ATR35=62.46點, 回落: K=2 * ATR25=59.84點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,112.0,2.0,4.0,108.0,21600.0
2026-01-27 10:00:00,32322.0,LONG,2026-01-27 12:15:00,32416.0,"ATR移動停利(啟動: K=2 * ATR35=85.89點, 回落: K=2 * ATR25=93.84點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,94.0,2.0,4.0,90.0,18000.0
2026-01-27 12:30:00,32478.0,LONG,2026-01-27 22:45:00,32547.0,"ATR移動停利(啟動: K=2 * ATR35=55.03點, 回落: K=2 * ATR25=46.88點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,69.0,2.0,4.0,65.0,13000.0
2026-01-27 23:00:00,32563.0,LONG,2026-01-28 10:00:00,32706.0,"ATR移動停利(啟動: K=2 * ATR35=79.31點, 回落: K=2 * ATR25=76.56點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,143.0,2.0,4.0,139.0,27800.0
2026-01-28 10:15:00,32726.0,LONG,2026-01-28 21:30:00,33058.0,"ATR移動停利(啟動: K=2 * ATR35=74.17點, 回落: K=2 * ATR25=63.92點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,332.0,2.0,4.0,328.0,65600.0
2026-01-29 03:15:00,32975.0,LONG,2026-01-29 09:15:00,32967.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-8.0,2.0,4.0,-12.0,-2400.0
2026-01-29 13:00:00,32764.0,SHORT,2026-01-29 15:15:00,32758.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,6.0,2.0,4.0,2.0,400.0
2026-01-29 15:30:00,32731.0,SHORT,2026-01-29 22:00:00,32682.0,"ATR移動停利(啟動: K=2 * ATR35=96.29點, 回落: K=2 * ATR25=84.00點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,49.0,2.0,4.0,45.0,9000.0
2026-01-29 22:30:00,32629.0,SHORT,2026-01-30 01:30:00,32264.0,"ATR移動停利(啟動: K=2 * ATR35=144.29點, 回落: K=2 * ATR25=168.00點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,365.0,2.0,4.0,361.0,72200.0
2026-01-30 02:15:00,32245.0,SHORT,2026-01-30 09:15:00,32516.0,"ATR停損(K=3.0, ATR=10, 門檻=170.10點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-271.0,2.0,4.0,-275.0,-55000.0
2026-01-30 09:45:00,32342.0,SHORT,2026-01-30 11:15:00,32359.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-17.0,2.0,4.0,-21.0,-4200.0
2026-01-30 12:00:00,32291.0,SHORT,2026-01-30 19:45:00,32048.0,"ATR移動停利(啟動: K=2 * ATR35=180.34點, 回落: K=2 * ATR25=158.08點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,243.0,2.0,4.0,239.0,47800.0
